position,person,personID,start,gender,DOB,DOD,image,enwiki
Chief Executive,John Lee,Q9051824,2022-07-01,male,1957-12-07,,港府執意推進《逃犯條例》修法民陣謹慎動員民眾抗爭2 (cropped).jpg,John Lee (government official)
Chief Secretary,Eric Chan,Q9439903,2022-07-01,male,1959-04-05,,特首辦主任陳國基5.jpg,Eric Chan
Secretary for the Civil Service,Ingrid Yeung,Q97300997,2022-07-01,female,,,,
Secretary for Commerce and Economic Development,Algernon Yau,Q112658126,2022-07-01,male,,,,
Secretary for Constitutional and Mainland Affairs,Erick Tsang,Q30825347,2020-04-22,male,1963-09-01,,20200422 HK Government Reshuffle 曾國衛.png,Erick Tsang
"Secretary for Culture, Sports and Tourism",Kevin Yeung,Q9299188,2022-07-01,male,1963-01-26,,Kelvin Yeung Yun-hung.png,Kevin Yeung
Secretary for Development,Bernadette Linn,Q97301037,2022-07-01,,,,,
Secretary for Education,Christine Choi,Q22099203,2022-07-01,female,1966,,,
Secretary for the Environment and Ecology,Tse Chin-wan,Q15888642,2022-07-01,male,1957-10-15,,,
Secretary for Finance,Paul Chan Mo-po,Q7149777,2017-01-16,male,1955-03-18,,Paul Chan Mo Po.jpg,Paul Chan Mo-po
Secretary for Financial Services and the Treasury,Christopher Hui,Q91408367,2020-04-22,male,1976,,Christopher Hui 20201223 (cropped).png,Christopher Hui
Secretary for Food and Health,Lo Chung-mau,Q113010612,2022-07-01,male,,,,Lo Chung-mau
Secretary for Home and Youth Affairs,Alice Mak,Q4725987,2022-07-01,female,1970-11-01,,Alice Mak Mei-kuen.png,Alice Mak (politician)
Secretary for Housing,Winnie Ho,Q112644506,2022-07-01,female,,,,
Secretary for Innovation and Technology,Dong Sun,Q30122220,2022-07-01,male,1967,,,Dong Sun
Secretary for Justice,Paul Lam,Q67935929,2022-07-01,male,,,Paul Lam 2022 (cropped).jpg,Paul Lam
Secretary for Labour and Welfare,Chris Sun,Q112645023,2022-07-01,male,,,,
Secretary for Security,Tang Ping-keung,Q48914413,2021-06-25,male,1965-07-04,,Tang Ping-keung 20191122.png,Chris Tang
Secretary for Transport and Logistics,Lam Sai-hung,Q97300994,2022-07-01,male,,,,
Deputy Chief Secretary for Administration,Cheuk Wing-hing,Q10906089,2022-07-01,male,1959-03-24,,,
Deputy Secretary for Finance,Michael Wong Wai-lun,Q30465932,2022-07-01,male,1962-08-17,,Michael Wong Wai-lun.png,Michael Wong Wai-lun
Deputy Secretary for Justice,Horace Cheung,Q7237065,2022-07-01,male,1974-06-30,,Horace Cheung.jpg,Horace Cheung
President of the Legislative Council,Andrew Leung,Q4757753,2016-10-12,male,1951-02-24,,Leung Kwan-yuen Andrew.JPG,Andrew Leung
Commissioner of Police,Raymond Siu,Q107340732,2021-06-25,male,1966-04-02,,Raymond Siu 2021 (cropped).png,Raymond Siu
